  2119,    12,     3,     3,     7,     0,     9,    25,     1,     0
    94,  1628,    40,    33,     6,    76,    44,    56,     5,    33
    41,    61,  1739,     6,    37,    25,    35,    46,    44,    16
    32,     5,     3,  1744,    14,    18,     5,    18,    91,     3
    27,    14,   160,    34,  1313,    65,    23,    79,    54,    48
    33,    19,     1,    15,    12,  1821,     0,    14,     1,    27
    76,    11,    20,    41,     3,     0,  1862,     3,    96,    28
   178,    25,    75,    28,    64,    22,    12,  1507,    57,    23
    19,     7,    39,   118,     5,     1,   132,    12,  1581,    19
     2,     6,     5,    11,    19,    22,     4,    27,     1,  1902
