  2140,    11,     3,     3,     7,     6,     1,     5,     2,     1
    18,  1824,    28,    21,     6,    27,    29,    32,     7,    23
    11,    52,  1819,     2,    44,    17,    22,    49,    25,     9
    20,     7,     0,  1780,     5,    14,     5,     8,    94,     0
    19,    11,    76,    11,  1575,    49,    12,    14,    25,    25
     4,    14,     0,    14,    17,  1860,     1,    12,     2,    19
    34,    26,     6,    31,     6,     1,  1962,     3,    54,    17
    45,    24,    58,    11,    47,    17,    17,  1714,    37,    21
     9,     8,    26,    63,    12,     4,    63,    24,  1712,    12
     1,    11,     3,     7,    11,    16,     1,    19,     3,  1927
